"","X.2","X.1","...1","X","PG.ProteinGroups","PG.Genes","short.name","GO","sub.cell","description","GO.ID","ConditionNorm_P_0_1","ConditionNorm_P_0_2","ConditionNorm_P_0_3","ConditionNorm_P_150_1","ConditionNorm_P_150_2","ConditionNorm_P_150_3","logFC","AveExpr","t","P.Value","adj.P.Val","B","mass","neglog.adj.P.Val.","TotalPeptidesOverallInGene","P0_Undetected","P150_Undetected","medians_.ConditionNorm_P_0_1_ConditionNorm_P_0_2_ConditionNorm_P_0_3","medians_.ConditionNorm_P_150_1_ConditionNorm_P_150_2_ConditionNorm_P_150_3","Ratio","Ratio_log2"
"1",1,2,2,2,"P61247","RPS3A","RS3A_HUMAN","cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cell differentiation [GO:0030154]; cytoplasmic translation [GO:0002181]; negative regulation of apoptotic process [GO:0043066]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03122, ECO:0000269|PubMed:17289661}. Nucleus {ECO:0000255|HAMAP-Rule:MF_03122}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs.","40S ribosomal protein S3a (Small ribosomal subunit protein eS1) (v-fos transformation effector protein) (Fte-1)","GO:0000184; GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005783; GO:0005829; GO:0005925; GO:0006412; GO:0006413; GO:0006614; GO:0022627; GO:0030154; GO:0043066; GO:0048027; GO:0070062; GO:1990904",3.47272381175392e-06,1e-07,1e-07,0.0137835069422885,0.014004195854657,0.0139780506143327,0.0139206935624888,0.00696157102251499,191.596544910111,1.2475184370221e-09,5.3393789104546e-06,12.5301032430566,29945,5.27250925822423,8,2,0,1e-07,0.0139780506143327,139780.506143327,17.0928036502336
"2",2,3,3,3,"O43312","MTSS1","MTSS1_HUMAN","actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; endocytic vesicle [GO:0030139]; ruffle [GO:0001726]; actin monomer binding [GO:0003785]; identical protein binding [GO:0042802]; signaling receptor binding [GO:0005102]; actin cytoskeleton organization [GO:0030036]; cell adhesion [GO:0007155]; cellular response to fluid shear stress [GO:0071498]; epithelial cell proliferation involved in renal tubule morphogenesis [GO:2001013]; glomerulus morphogenesis [GO:0072102]; microspike assembly [GO:0030035]; negative regulation of epithelial cell proliferation [GO:0050680]; nephron tubule epithelial cell differentiation [GO:0072160]; plasma membrane organization [GO:0007009]; renal tubule morphogenesis [GO:0061333]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.","Metastasis suppressor protein 1 (Metastasis suppressor YGL-1) (Missing in metastasis protein)","GO:0001726; GO:0003785; GO:0005102; GO:0005737; GO:0007009; GO:0007155; GO:0007169; GO:0015629; GO:0030035; GO:0030036; GO:0030139; GO:0042802; GO:0050680; GO:0061333; GO:0071498; GO:0072102; GO:0072160; GO:2001013",1e-07,1e-07,1e-07,0.0524461678380948,0.0519641695429614,0.0531548212412645,0.0525216195407736,0.0262609097703868,157.057279322128,2.93618599659115e-09,6.76076803332627e-06,11.4834449378016,82251,5.17000396475529,5,3,0,1e-07,0.0524461678380948,524461.678380948,19.0004778355529
"3",3,5,5,5,"P62380","TBPL1","TBPL1_HUMAN","cytoplasm [GO:0005737]; transcription factor TFIIA complex [GO:0005672]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; transcription coactivator activity [GO:0003713]; transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0001077]; acrosome assembly [GO:0001675]; DNA-templated transcription, initiation [GO:0006352]; dTTP biosynthetic process [GO:0006235]; positive regulation of transcription by RNA polymerase II [GO:0045944]; spermatid nucleus differentiation [GO:0007289]; transcription by RNA polymerase II [GO:0006366]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.","TATA box-binding protein-like protein 1 (TBP-like protein 1) (21 kDa TBP-like protein) (Second TBP of unique DNA protein) (STUD) (TATA box-binding protein-related factor 2) (TBP-related factor 2) (TBP-like factor) (TBP-related protein)","GO:0000978; GO:0000981; GO:0001077; GO:0001675; GO:0003713; GO:0005672; GO:0005737; GO:0006235; GO:0006352; GO:0006366; GO:0007289; GO:0045944",1e-07,1e-07,1e-07,0.0780440172778372,0.0783611299476151,0.0765258660312932,0.0776435710855818,0.0388218855427909,142.06586342786,4.52253255180545e-09,6.76076803332627e-06,10.9541934819423,20887,5.17000396475529,4,3,0,1e-07,0.0780440172778372,780440.172778372,19.5739285163208
"4",4,10,10,10,"O15020","SPTBN2","SPTN2_HUMAN","apical plasma membrane [GO:0016324]; cell junction [GO:0030054]; cytosol [GO:0005829]; extracellular space [GO:0005615]; neuronal cell body [GO:0043025]; spectrin [GO:0008091]; actin binding [GO:0003779]; cadherin binding [GO:0045296]; phospholipid binding [GO:0005543]; Ras guanyl-nucleotide exchange factor activity [GO:0005088]; structural constituent of cytoskeleton [GO:0005200]; actin filament capping [GO:0051693]; adult behavior [GO:0030534]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; axon guidance [GO:0007411]; cerebellar Purkinje cell layer morphogenesis [GO:0021692]; ER to Golgi vesicle-mediated transport [GO:0006888]; MAPK cascade [GO:0000165]; multicellular organism growth [GO:0035264]; synapse assembly [GO:0007416]; vesicle-mediated transport [GO:0016192]","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Cytoplasm, cell cortex.","Spectrin beta chain, non-erythrocytic 2 (Beta-III spectrin) (Spinocerebellar ataxia 5 protein)","GO:0000165; GO:0003779; GO:0005088; GO:0005200; GO:0005543; GO:0005615; GO:0005829; GO:0006888; GO:0007411; GO:0007416; GO:0008091; GO:0016192; GO:0016324; GO:0019886; GO:0021692; GO:0030054; GO:0030534; GO:0035264; GO:0043025; GO:0045296; GO:0051693",1e-07,0.00010598849850618,1e-07,0.0221601984959531,0.022201255265048,0.0227679118382602,0.022341059033585,0.0112059256829612,115.143730481293,1.11754015799778e-08,9.56614375246099e-06,9.84416837289779,271325,5.01926309718019,70,2,0,1e-07,0.022201255265048,222012.55265048,17.7602817236907
"5",5,12,12,12,"P14735","IDE","IDE_HUMAN","cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic proteasome complex [GO:0031597]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]; plasma membrane [GO:0005886]; amyloid-beta binding [GO:0001540]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; beta-endorphin binding [GO:0031626]; identical protein binding [GO:0042802]; insulin binding [GO:0043559]; metalloendopeptidase activity [GO:0004222]; peptide binding [GO:0042277]; protein homodimerization activity [GO:0042803]; signaling receptor binding [GO:0005102]; ubiquitin-dependent protein binding [GO:0140036]; virus receptor activity [GO:0001618]; zinc ion binding [GO:0008270]; amyloid-beta clearance [GO:0097242]; amyloid-beta metabolic process [GO:0050435]; bradykinin catabolic process [GO:0010815]; determination of adult lifespan [GO:0008340]; hormone catabolic process [GO:0042447]; insulin catabolic process [GO:1901143]; insulin metabolic process [GO:1901142]; insulin receptor signaling pathway [GO:0008286]; negative regulation of proteolysis [GO:0045861]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein oligomerization [GO:0032461]; protein heterooligomerization [GO:0051291]; protein homooligomerization [GO:0051260]; protein homotetramerization [GO:0051289]; protein targeting to peroxisome [GO:0006625]; proteolysis [GO:0006508]; proteolysis involved in cellular protein catabolic process [GO:0051603]; ubiquitin recycling [GO:0010992]","SUBCELLULAR LOCATION: Cytoplasm. Cell membrane. Secreted {ECO:0000250}. Note=Present at the cell surface of neuron cells. The membrane-associated isoform is approximately 5 kDa larger than the known cytosolic isoform.","Insulin-degrading enzyme (EC 3.4.24.56) (Abeta-degrading protease) (Insulin protease) (Insulinase) (Insulysin)","GO:0001540; GO:0001618; GO:0004222; GO:0005102; GO:0005524; GO:0005615; GO:0005634; GO:0005737; GO:0005739; GO:0005777; GO:0005782; GO:0005829; GO:0005886; GO:0006508; GO:0006625; GO:0008270; GO:0008286; GO:0008340; GO:0009986; GO:0010815; GO:0010992; GO:0016887; GO:0031597; GO:0031626; GO:0032461; GO:0042277; GO:0042447; GO:0042802; GO:0042803; GO:0043559; GO:0045732; GO:0045861; GO:0050435; GO:0051260; GO:0051289; GO:0051291; GO:0051603; GO:0097242; GO:0140036; GO:1901142; GO:1901143",1e-07,1.62536767164862e-05,1e-07,0.0731544137500375,0.0759248963785487,0.0745902623315806,0.0745510395944834,0.0372810043561472,96.6347077040644,2.37637077298111e-08,1.69514448472652e-05,8.91722195714355,117968,4.77079327902716,16,2,0,1e-07,0.0745902623315806,745902.623315806,19.5086277751197
"6",6,13,13,13,"P47756","CAPZB","CAPZB_HUMAN","actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; F-actin capping protein complex [GO:0008290]; sarcomere [GO:0030017]; WASH complex [GO:0071203]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; cadherin binding [GO:0045296]; actin cytoskeleton organization [GO:0030036]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; barbed-end actin filament capping [GO:0051016]; blood coagulation [GO:0007596]; cytoskeleton organization [GO:0007010]; ER to Golgi vesicle-mediated transport [GO:0006888]; negative regulation of filopodium assembly [GO:0051490]; regulation of cell morphogenesis [GO:0022604]; regulation of lamellipodium assembly [GO:0010591]","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasm, myofibril, sarcomere {ECO:0000250}.","F-actin-capping protein subunit beta (CapZ beta)","GO:0003779; GO:0005829; GO:0005856; GO:0005884; GO:0006888; GO:0007010; GO:0007596; GO:0008290; GO:0010591; GO:0015629; GO:0019886; GO:0022604; GO:0030017; GO:0030036; GO:0045296; GO:0051015; GO:0051016; GO:0051490; GO:0070062; GO:0071203",9.25272817276245e-05,0.00051825984407085,6.03203935480555e-05,0.0480859621203014,0.0463317875773475,0.0469968817643623,0.0469145079808882,0.0236809564968929,91.3389499099534,3.02888346972191e-08,1.76068014921297e-05,8.61895540415476,31350,4.75431953219197,15,0,0,9.25272817276245e-05,0.0469968817643623,507.92459139466,8.98847051414147
"7",7,14,14,14,"Q96B54","ZNF428","ZN428_HUMAN","metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]",NA,"Zinc finger protein 428 (Enzyme-like protein PIT13)","GO:0003676; GO:0046872",0.00026135065379903,0.00018183947663466,0.00053605450629791,0.165810440717696,0.172100796999935,0.166983732007965,0.167971908362955,0.0843123690603879,90.1015499272707,3.21204927257422e-08,1.76068014921297e-05,8.54676294690465,20481,4.75431953219197,3,0,0,0.00026135065379903,0.166983732007965,638.926015989116,9.31950507471053
"8",8,15,15,15,"Q96S90","LYSMD1","LYSM1_HUMAN","nucleoplasm [GO:0005654]; nucleus [GO:0005634]",NA,"LysM and putative peptidoglycan-binding domain-containing protein 1","GO:0005634; GO:0005654",4.51956484368904e-05,1e-07,1e-07,0.0932829921447841,0.0966847035069641,0.0934793689322642,0.0944672229785252,0.0472487433720749,88.8576622658579,3.41012761540439e-08,1.76068014921297e-05,8.47318265423934,25003,4.75431953219197,3,2,0,1e-07,0.0934793689322642,934793.689322642,19.8342884691334
"9",9,17,17,17,"Q9UJ41","RABGEF1","RABX5_HUMAN","cytosol [GO:0005829]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; nucleolus [GO:0005730]; recycling endosome [GO:0055037]; DNA binding [GO:0003677]; Rab GTPase binding [GO:0017137]; Rab guanyl-nucleotide exchange factor activity [GO:0017112]; zinc ion binding [GO:0008270]; endocytosis [GO:0006897]; protein targeting to membrane [GO:0006612]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12505986}. Early endosome {ECO:0000269|PubMed:12505986}. Recycling endosome {ECO:0000269|PubMed:12505986}.","Rab5 GDP/GTP exchange factor (RAP1) (Rabaptin-5-associated exchange factor for Rab5) (Rabex-5)","GO:0003677; GO:0005730; GO:0005769; GO:0005829; GO:0006612; GO:0006897; GO:0008270; GO:0017112; GO:0017137; GO:0031901; GO:0055037",0.00032846293568318,0.00117624982647159,0.00030259721043964,0.0283914575949019,0.0283383797167254,0.0288529118086565,0.0279251463825631,0.014565009848813,87.4032935442869,3.66118400931824e-08,1.76068014921297e-05,8.38583026755215,79371,4.75431953219197,11,0,0,0.00032846293568318,0.0283914575949019,86.4373252216408,6.43358252398923
"10",10,18,18,18,"Q86Y82","STX12","STX12_HUMAN","early endosome membrane [GO:0031901]; endomembrane system [GO:0012505]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; phagocytic vesicle [GO:0045335]; phagophore assembly site [GO:0000407]; recycling endosome membrane [GO:0055038]; SNARE complex [GO:0031201]; vesicle [GO:0031982]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; autophagosome assembly [GO:0000045]; cholesterol efflux [GO:0033344]; intracellular protein transport [GO:0006886]; protein stabilization [GO:0050821]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906]","SUBCELLULAR LOCATION: Endosome membrane; Single-pass type IV membrane protein {ECO:0000250|UniProtKB:G3V7P1}. Golgi apparatus membrane; Single-pass type IV membrane protein {ECO:0000250|UniProtKB:G3V7P1}. Endomembrane system {ECO:0000305}; Single-pass type IV membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Early endosome membrane {ECO:0000250|UniProtKB:G3V7P1}; Single-pass type IV membrane protein {ECO:0000305}. Recycling endosome membrane {ECO:0000250|UniProtKB:G3V7P1}; Single-pass type IV membrane protein {ECO:0000250|UniProtKB:G3V7P1}.","Syntaxin-12","GO:0000045; GO:0000139; GO:0000149; GO:0000407; GO:0005484; GO:0006886; GO:0006906; GO:0012505; GO:0016021; GO:0031201; GO:0031901; GO:0031982; GO:0033344; GO:0045121; GO:0045335; GO:0048278; GO:0050821; GO:0055038",1e-07,1e-07,1e-07,0.11478563959383,0.110721628132487,0.114918488445117,0.113475152057144,0.0567376760285722,85.4665520386547,4.03190969406643e-08,1.76068014921297e-05,8.26721514804784,31642,4.75431953219197,3,3,0,1e-07,0.11478563959383,1147856.3959383,20.1305107323947
